GEOID,YEAR,state,PCPrate,pctOBESE,FI,MIDWIVESrate,OBGYNrate,rtTEENBIRTH,rtSTD,MHCENTERrate,MHPROVIDERrate,rtDRUGODMORTALITY,pctNoVehicle,pctRural,rtSocASSOC,pctHOUSE_DISTRESS,rtVIOLENTCR,segregation,Racialized_pov
48481,2022,Texas,40.74686608662304,0.393,0.149,0.0,9.45134918009546,43.20502749,370.6,0.0,0.0,16.8188371,0.0636387641932928,0.4751387604070305,15.4009048,0.176663389,439.1520986,22.76280103,2.545337619470701
48483,2022,Texas,20.296326364927943,0.377,0.167,0.0,0.0,28.4951024,98.9,0.0,0.0,0.0,0.070230607966457,1.0,21.75632911,0.164079823,120.9189843,36.31867435,2.276447325237939
48485,2022,Texas,84.57049719764125,0.384,0.17,4.665774985225046,20.21835826930853,35.56330074,391.7000000000001,0.0,0.0,13.58493984,0.0661056703152004,0.1011545597002827,9.906980262,0.166423358,380.2877192,28.92235643,1.8114103324511115
48487,2022,Texas,31.419370041630664,0.388,0.19,0.0,0.0,45.85798817,266.3,0.0,0.0,0.0,0.0551232166018158,0.2261823166552433,11.74720025,0.138651472,322.6921747,23.59961713,1.90612707318996
48489,2022,Texas,39.37783028155149,0.455,0.188,0.0,0.0,40.4040404,383.9,0.0,0.0,0.0,0.05596601403768,0.4104874446085672,4.682086338,0.177280551,730.7771358,9.251600922,2.16703993392868
48491,2022,Texas,65.31617695085424,0.318,0.11,0.9592203457030126,17.265966222654228,11.85967865,243.0,0.0,0.3110294140516869,6.816421379,0.0257322557914973,0.0876893301918546,6.231468578,0.120482962,164.900511,28.35020876,1.9754710733625376
48493,2022,Texas,42.9209668923269,0.37,0.109,0.0,0.0,18.49205682,195.8,0.0,0.0,8.479164085,0.0221965984433554,0.8709898330084813,5.482670844,0.129266751,135.1965102,19.30527618,1.5737644153824162
48495,2022,Texas,26.972353337828725,0.394,0.114,0.0,0.0,43.16197866,437.0,0.0,0.0,0.0,0.0558659217877094,0.1786824114356743,7.490636704000001,0.138132296,125.1642781,34.13103446,2.809176515295458
48497,2022,Texas,39.04398025490141,0.367,0.144,0.0,11.260310221546604,24.37096562,191.5,0.0,0.0,11.94041257,0.0164043357282279,0.9023980904784992,9.859396434,0.136548913,161.8587444,25.82490976,1.1305705469638407
48499,2022,Texas,37.05722070844686,0.359,0.169,0.0,0.0,29.13165266,175.70000000000002,0.0,0.0,8.761746216,0.0551503590664272,0.8872520222332686,13.39511188,0.152752571,175.19840349999998,32.62301285,1.5453668847936026
48501,2022,Texas,26.291573550677008,0.386,0.09,0.0,23.51834430856068,42.74611399,218.1,0.0,0.0,0.0,0.0244913338357196,1.0,9.181682543,0.127102804,182.3636685,5.389776247,1.5964325529542922
48503,2022,Texas,89.00261445179953,0.357,0.143,0.0,0.0,40.45478583,261.0,0.0,0.0,0.0,0.0508922670191672,0.5520552757934184,11.66018878,0.112596763,169.4452036,25.37174954,0.8757877538895698
48505,2022,Texas,7.19010641357492,0.434,0.194,0.0,0.0,61.337355460000005,253.9,0.0,7.19010641357492,0.0,0.0965065502183406,0.2463062185419711,2.1158050640000003,0.254256527,96.04170954,21.38252918,1.6700088271415414
48507,2022,Texas,10.488777008600795,0.46,0.215,0.0,0.0,50.19537121,498.3,0.0,0.0,0.0,0.0493142690399766,0.3188775510204081,3.3783783780000003,0.170940171,176.5536723,23.36296464,7.228906389655789
20001,2022,Kansas,64.18485237483954,0.378,0.153,0.0,0.0,26.04166667,339.6,0.0,8.023106546854942,0.0,0.0760891387271632,0.5198216055500495,10.51014633,0.11342155,318.6496146,29.47755486,2.935273267457057
20003,2022,Kansas,38.57032656209823,0.381,0.135,0.0,0.0,23.89486261,229.1,0.0,0.0,0.0,0.0622432859399684,1.0,10.18070756,0.115635179,237.4826836,0.0,3.939114648792068
20005,2022,Kansas,43.106102592524174,0.366,0.143,0.0,0.0,17.82292066,280.0,0.0,0.0,0.0,0.0695205479452054,0.3564719694746111,11.82106639,0.112040134,288.3593869,23.40004952,1.5462245703756627
20007,2022,Kansas,48.661800486618006,0.366,0.144,0.0,0.0,26.15933413,338.8,0.0,0.0,0.0,0.0598531902879728,1.0,27.10639259,0.091836735,296.803653,39.57683671,2.300979302680928
20009,2022,Kansas,55.52030456852792,0.37,0.131,0.0,7.690532953933707,31.61923781,484.9,0.0,3.9657360406091366,12.89523908,0.0575832918945798,0.4238480194017785,20.55937003,0.111111111,363.9804907,36.60959161,2.1275256901820043
20011,2022,Kansas,55.85422048453537,0.397,0.155,0.0,0.0,35.620437960000004,309.6,0.0,0.0,0.0,0.036595744680851,0.4677991137370753,15.13692033,0.127622378,521.6501875,14.65592157,1.6348428163452915
20013,2022,Kansas,95.18773135906928,0.41,0.133,0.0,0.0,34.05107662,366.0,0.0,0.0,0.0,0.046943231441048,1.0,21.95734003,0.104993598,213.3279155,40.25511779,3.239084812878654
20015,2022,Kansas,73.64963396131921,0.349,0.108,0.0,3.011685339115769,15.82700446,343.70000000000005,0.0,2.9459853584527687,12.45838898,0.0356623586429725,0.444741831158693,11.9561806,0.13278856,181.7321055,37.08559269,1.204239582807324
20017,2022,Kansas,0.0,0.351,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460093896713615,1.0,0.0,0.097087379,150.2911892,0.0,1.3343477953146012
20019,2022,Kansas,0.0,0.396,0.161,0.0,0.0,30.94462541,184.6,0.0,0.0,0.0,0.0340136054421768,1.0,15.38461539,0.106896552,0.0,0.0,1.933919443876508
20021,2022,Kansas,20.909566126502877,0.374,0.147,0.0,0.0,33.64116095,426.3,0.0,0.0,0.0,0.0739413248373821,1.0,11.53518231,0.103920349,318.1818182,14.69848732,2.535747809762203
20023,2022,Kansas,37.9794910748196,0.358,0.108,0.0,0.0,29.27927928,188.2,0.0,0.0,0.0,0.0265120132560066,1.0,33.87278886,0.06504065,150.54572829999998,0.0,1.3150884306004966
20025,2022,Kansas,252.90844714213452,0.355,0.12,0.0,0.0,21.65354331,0.0,0.0,0.0,0.0,0.0408921933085501,1.0,30.09027081,0.12849162,187.8816346,0.0,0.0
20027,2022,Kansas,136.18917915067476,0.374,0.118,0.0,0.0,16.785022599999998,287.40000000000003,0.0,0.0,0.0,0.0742296918767507,0.4729214340198321,28.7428143,0.089705882,168.2793437,45.38494213,0.6216600278719645
20029,2022,Kansas,56.00358422939068,0.366,0.123,0.0,0.0,24.74134053,318.70000000000005,0.0,0.0,0.0,0.0625509926570573,0.4423717521652232,30.73070794,0.086787565,403.2917325,47.95784186,3.10403692672675
20031,2022,Kansas,83.95298632765652,0.36,0.133,0.0,0.0,16.73173452,220.1,0.0,0.0,0.0,0.0485464295794524,1.0,12.22643355,0.108450704,96.49404953,17.97166774,3.438314393173454
20033,2022,Kansas,119.76047904191616,0.361,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386940749697702,1.0,47.05882353,0.073825503,0.0,0.0,0.0
